"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","filters, sorts, and detects dirty benchmark report drafts","workflowBakeoff","Fri Sep 04 03:16:12 UTC 2026","passed","Fri Sep 04 03:16:12 UTC 2026","","","",""
"","4","marks all lines equal for identical text","diffLines","Fri Sep 04 03:17:25 UTC 2026","passed","Fri Sep 04 03:17:25 UTC 2026","","","",""
"","42","surfaces persisted object-store artifacts even when the run file registry is empty","RunFilePanel","Fri Sep 04 03:15:20 UTC 2026","passed","Fri Sep 04 03:15:20 UTC 2026","","","",""
"","19","removes a chip","ChipMultiSelect","Fri Sep 04 03:17:18 UTC 2026","passed","Fri Sep 04 03:17:18 UTC 2026","","","",""
"","135","guides wait_for_event runs toward event matching when manual resume is disabled","WorkflowEditor handler branches","Fri Sep 04 03:13:31 UTC 2026","passed","Fri Sep 04 03:13:31 UTC 2026","","","",""
"","163","validates scorer selections, weights, and scorer config before starting a run","Prompt optimization calibration edge flows","Fri Sep 04 03:14:29 UTC 2026","passed","Fri Sep 04 03:14:29 UTC 2026","","","",""
"","80","toggles to raw JSON mode","ToolWizard","Fri Sep 04 03:15:10 UTC 2026","passed","Fri Sep 04 03:15:10 UTC 2026","","Step 3: Schema","",""
"","40","shows the node's manifest JSON as editable code","NodeCodeModal","Fri Sep 04 03:17:19 UTC 2026","passed","Fri Sep 04 03:17:19 UTC 2026","","","",""
"","171","keeps the persisted saved workflow version label when the historical version row is gone but the run manifest exists","WorkflowEditor handler branches","Fri Sep 04 03:13:27 UTC 2026","passed","Fri Sep 04 03:13:27 UTC 2026","","","",""
"","149","cleans low-level MCP execution errors before showing them in the playground","McpServers","Fri Sep 04 03:14:35 UTC 2026","passed","Fri Sep 04 03:14:35 UTC 2026","","","",""
"","132","updates the inline model and reasoning controls","CaliberAssistantPanel — modes & settings","Fri Sep 04 03:15:50 UTC 2026","passed","Fri Sep 04 03:15:50 UTC 2026","","","",""
"","1","buildNodeExecutionBadgeMap overlays preview, live, and terminal run states","node helpers","Fri Sep 04 03:14:13 UTC 2026","passed","Fri Sep 04 03:14:13 UTC 2026","","","",""
"","2","turns missing inherited checkpoint details into active-gate guidance for paused runs","workflow run panels","Fri Sep 04 03:14:30 UTC 2026","passed","Fri Sep 04 03:14:30 UTC 2026","","","",""
"","131","shows save failures and lets cancel clear local form errors","SkillDetail","Fri Sep 04 03:14:48 UTC 2026","passed","Fri Sep 04 03:14:48 UTC 2026","","","",""
"","86","closes the versions panel via its Close button","Prompts — create/edit error flows","Fri Sep 04 03:14:09 UTC 2026","passed","Fri Sep 04 03:14:09 UTC 2026","","","",""
"","48","rejects invalid Expected JSON without posting","EvalDatasetDetail — editor validation branches","Fri Sep 04 03:15:03 UTC 2026","passed","Fri Sep 04 03:15:03 UTC 2026","","","",""
"","147","adds secrets with Enter and does not duplicate refs","ToolWizard","Fri Sep 04 03:15:11 UTC 2026","passed","Fri Sep 04 03:15:11 UTC 2026","","Step 5: Safety & Review","",""
"","52","reconciles a fallback login race to the authoritative cookie identity","local auth cookie-operation coordination","Fri Sep 04 03:16:29 UTC 2026","passed","Fri Sep 04 03:16:29 UTC 2026","","","",""
"","142","uploads selected files into the current folder","Object Store file manager","Fri Sep 04 03:14:22 UTC 2026","passed","Fri Sep 04 03:14:22 UTC 2026","","","",""
"","37","deep-links to a trace via ?trace=","Observability page","Fri Sep 04 03:15:25 UTC 2026","passed","Fri Sep 04 03:15:25 UTC 2026","","","",""
"","1","handles empty input","highlightTokens — lossless","Fri Sep 04 03:17:23 UTC 2026","passed","Fri Sep 04 03:17:23 UTC 2026","","","",""
"","2","shows placeholder when report is null","ValidationPanel","Fri Sep 04 03:16:25 UTC 2026","passed","Fri Sep 04 03:16:25 UTC 2026","","","",""
"","105","opens an object in a new tab and marks its row as selected","Object Store file manager","Fri Sep 04 03:14:21 UTC 2026","passed","Fri Sep 04 03:14:21 UTC 2026","","","",""
"","242","shows GraphRAG and AGE onboarding in the graph explore view before any corpus exists","Knowledge Bases page","Fri Sep 04 03:13:46 UTC 2026","passed","Fri Sep 04 03:13:46 UTC 2026","","","",""
"","245","surfaces AGE retrieval diagnostics across the step map, snapshot, and event timeline","WorkflowRunDebugger","Fri Sep 04 03:14:11 UTC 2026","passed","Fri Sep 04 03:14:12 UTC 2026","","","",""
"","226","turns stale workflow-wide event matching failures into recovery guidance in detail","WorkflowDetail calibration","Fri Sep 04 03:13:09 UTC 2026","passed","Fri Sep 04 03:13:09 UTC 2026","","","",""
"","225","builds a queue with a custom question and creates it","ReviewQueues","Fri Sep 04 03:16:52 UTC 2026","passed","Fri Sep 04 03:16:53 UTC 2026","","","",""
"","127","turns an empty editor run history into paused-workflow guidance","WorkflowEditor page","Fri Sep 04 03:13:01 UTC 2026","passed","Fri Sep 04 03:13:01 UTC 2026","","","",""
"","79","reports a real experiment-binding verdict, including 'unverified'","Agents lifecycle UI","Fri Sep 04 03:15:48 UTC 2026","passed","Fri Sep 04 03:15:48 UTC 2026","","","",""
"","134","closes the editor when the discard confirm is accepted","Prompts","Fri Sep 04 03:14:07 UTC 2026","passed","Fri Sep 04 03:14:07 UTC 2026","","","",""
"","154","falls back to directly loading a historical workflow version when the run manifest is unavailable","WorkflowDetail calibration","Fri Sep 04 03:13:19 UTC 2026","passed","Fri Sep 04 03:13:19 UTC 2026","","","",""
"","17","adds workflow-level deploy gates and links eval dataset artifacts","Inspector","Fri Sep 04 03:13:41 UTC 2026","passed","Fri Sep 04 03:13:41 UTC 2026","","","",""
"","2","sends workflow-scoped external event payloads for wait-event recovery","caliberApi","Fri Sep 04 03:14:41 UTC 2026","passed","Fri Sep 04 03:14:41 UTC 2026","","","",""
"","13","reverts unapplied edits","CodeView — manifest tab","Fri Sep 04 03:17:06 UTC 2026","passed","Fri Sep 04 03:17:06 UTC 2026","","","",""
"","137","searches backend docs and surfaces setup metadata badges","NodePalette","Fri Sep 04 03:13:41 UTC 2026","passed","Fri Sep 04 03:13:41 UTC 2026","","","",""
"","105","adds owner and tag filters with a clear-filters reset","EvalDatasets","Fri Sep 04 03:16:27 UTC 2026","passed","Fri Sep 04 03:16:27 UTC 2026","","","",""
"","27","calls onClose when Cancel is clicked on step 1","ToolWizard","Fri Sep 04 03:15:10 UTC 2026","passed","Fri Sep 04 03:15:10 UTC 2026","","Step navigation","",""
"","271","edits fields and PATCHes the parsed CSV payload on Save, then closes","AssistantSettings","Fri Sep 04 03:15:33 UTC 2026","passed","Fri Sep 04 03:15:33 UTC 2026","","","",""
"","10","maps indexed handoff validation issues back onto the handoffs field","Inspector","Fri Sep 04 03:13:42 UTC 2026","passed","Fri Sep 04 03:13:42 UTC 2026","","","",""
"","90","defaults the Allure link to the in-app served report","Settings page","Fri Sep 04 03:15:41 UTC 2026","passed","Fri Sep 04 03:15:41 UTC 2026","","","",""
"","139","shows an explicit resume note when approval records fail to load for a paused detail run","WorkflowDetail calibration","Fri Sep 04 03:13:18 UTC 2026","passed","Fri Sep 04 03:13:18 UTC 2026","","","",""
"","70","turns idle run-monitor sections into guided empty states when no run is selected","WorkflowEditor handler branches","Fri Sep 04 03:13:36 UTC 2026","passed","Fri Sep 04 03:13:36 UTC 2026","","","",""
"","184","copies and pastes a node with Cmd+C / Cmd+V","WorkflowEditor page","Fri Sep 04 03:12:59 UTC 2026","passed","Fri Sep 04 03:12:59 UTC 2026","","","",""
"","71","reacts to workflow.run.cancel_requested event-stream messages","WorkflowDetail calibration","Fri Sep 04 03:13:14 UTC 2026","passed","Fri Sep 04 03:13:14 UTC 2026","","","",""
"","364","starting a new knowledge base cannot target a stale selection","Knowledge Bases page","Fri Sep 04 03:13:48 UTC 2026","passed","Fri Sep 04 03:13:48 UTC 2026","","","",""
"","139","re-runs compare after selecting different versions","Prompts","Fri Sep 04 03:14:07 UTC 2026","passed","Fri Sep 04 03:14:07 UTC 2026","","","",""
"","134","auto-creates session when typing a message from empty state","CaliberAssistantPanel","Fri Sep 04 03:14:52 UTC 2026","passed","Fri Sep 04 03:14:52 UTC 2026","","","",""
"","24","edits field/op/value and target","RouterConditionBuilder","Fri Sep 04 03:13:43 UTC 2026","passed","Fri Sep 04 03:13:43 UTC 2026","","","",""
"","346","creates, signs, and generates Allure evidence for a release candidate","Releases","Fri Sep 04 03:15:05 UTC 2026","passed","Fri Sep 04 03:15:05 UTC 2026","","","",""
"","1","shows a hint when no report","ProblemsPanel","Fri Sep 04 03:13:43 UTC 2026","passed","Fri Sep 04 03:13:43 UTC 2026","","","",""
"","13","selects artifact type prompt","ArtifactTypeSelector","Fri Sep 04 03:15:54 UTC 2026","passed","Fri Sep 04 03:15:54 UTC 2026","","","",""
"","85","adds an input property row","ToolWizard","Fri Sep 04 03:15:10 UTC 2026","passed","Fri Sep 04 03:15:10 UTC 2026","","Step 3: Schema","",""
"","99","shows error when registration fails","ToolWizard","Fri Sep 04 03:15:12 UTC 2026","passed","Fri Sep 04 03:15:12 UTC 2026","","Full wizard submission","",""
"","35","groups results by dataset tag","EvaluationDetail evidence panel","Fri Sep 04 03:15:18 UTC 2026","passed","Fri Sep 04 03:15:18 UTC 2026","","","",""
"","6","hydrates persisted width 200 -> 320","AssistantPanelContext","Fri Sep 04 03:16:38 UTC 2026","passed","Fri Sep 04 03:16:38 UTC 2026","","","",""
"","32","hides legacy components until Show legacy is toggled, with a badge","Component enhancements (label / advanced / output / legacy)","Fri Sep 04 03:13:44 UTC 2026","passed","Fri Sep 04 03:13:44 UTC 2026","","","",""
"","113","renders audit entries newest-first with a total summary","AuditLog","Fri Sep 04 03:16:57 UTC 2026","passed","Fri Sep 04 03:16:57 UTC 2026","","","",""
"","1","preserves the prior identity when both revoke and reconciliation are unavailable","local auth cookie-operation coordination","Fri Sep 04 03:16:29 UTC 2026","passed","Fri Sep 04 03:16:29 UTC 2026","","","",""
"","166","sets a run as baseline and surfaces the diff/regression vs the viewed run","Prompts — Workspace Runs stage","Fri Sep 04 03:14:08 UTC 2026","passed","Fri Sep 04 03:14:08 UTC 2026","","","",""
